Club
1964,1. FC Köln
1965,Werder Bremen
1966,TSV 1860 München
1967,Eintracht Braunschweig
1968,1. FC Nürnberg
1969,FC Bayern München
1970,Borussia Mönchengladbach
1971,Borussia Mönchengladbach
1972,FC Bayern München
1973,FC Bayern München
1974,FC Bayern München
1975,Borussia Mönchengladbach
1976,Borussia Mönchengladbach
1977,Borussia Mönchengladbach
1978,1. FC Köln
1979,Hamburger SV
1980,FC Bayern München
1981,FC Bayern München
1982,Hamburger SV
1983,Hamburger SV
1984,VfB Stuttgart
1985,FC Bayern München
1986,FC Bayern München
1987,FC Bayern München
1988,Werder Bremen
1989,FC Bayern München
1990,FC Bayern München
1991,1. FC Kaiserslautern
1992,VfB Stuttgart
1993,Werder Bremen
1994,FC Bayern München
1995,Borussia Dortmund
1996,Borussia Dortmund
1997,FC Bayern München
1998,1. FC Kaiserslautern
1999,FC Bayern München
2000,FC Bayern München
2001,FC Bayern München
2002,Borussia Dortmund
2003,FC Bayern München
2004,Werder Bremen
2005,FC Bayern München
2006,FC Bayern München
2007,VfB Stuttgart
2008,FC Bayern München
2009,VfL Wolfsburg
2010,FC Bayern München
2011,Borussia Dortmund
2012,Borussia Dortmund
2013,FC Bayern München
2014,FC Bayern München
2015,FC Bayern München
2016,FC Bayern München
2017,FC Bayern München
2018,FC Bayern München
2019,FC Bayern München
